user_genome	reference_genome	skani_ani	skani_af	reference_taxonomy	other_related_references(genome_id,species_name,radius,ANI,AF)
Alig_mis_R.bin.58	GCF_900087055.1	97.42	0.878	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Plesiomonas;s__Plesiomonas shigelloides	
Alig_mis_R.bin.60	GCF_010435965.1	97.38	0.9521999999999999	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Craterilacuibacter;s__Craterilacuibacter caeni	
STP248.12601_R.bin.3	GCF_014298075.1	98.84	0.8998	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella sp003752615	GCF_001598295.1, s__Klebsiella ornithinolytica, 95.0, 87.47, 0.65; GCF_006539725.1, s__Klebsiella terrigena, 95.0, 85.78, 0.551; GCF_004342285.1, s__Klebsiella sp004342285, 95.0, 86.86, 0.594; GCF_002925905.1, s__Klebsiella michiganensis, 95.0, 84.58, 0.448; GCF_002269255.1, s__Klebsiella quasivariicola, 95.0, 83.69, 0.384; GCF_000828055.2, s__Klebsiella variicola, 95.0, 83.45, 0.389; GCF_002270295.1, s__Klebsiella sp002270295, 95.0, 85.63, 0.54; GCF_000735435.1, s__Klebsiella planticola, 95.08, 87.5, 0.643; GCF_006711645.1, s__Klebsiella electrica, 95.0, 86.88, 0.586
STP248.12601_R.bin.46	GCF_030151085.1	97.57	0.6476999999999999	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp030151085	
STP248.12601_R.bin.50	GCF_002075345.1	96.94	0.6064	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii	GCF_030332225.1, s__Citrobacter sp030332225, 95.0, 88.32, 0.436; GCF_004684345.1, s__Citrobacter tructae, 95.0, 89.92, 0.466; GCF_002042885.1, s__Citrobacter portucalensis, 95.0, 91.2, 0.613; GCF_008373795.1, s__Citrobacter pasteurii, 95.0, 89.52, 0.479; GCF_003818115.1, s__Citrobacter youngae, 95.0, 89.53, 0.517; GCF_029717145.1, s__Citrobacter gillenii, 95.0, 88.04, 0.415; GCF_024023655.1, s__Citrobacter meridianamericanus, 95.0, 90.63, 0.536; GCF_011064845.1, s__Citrobacter freundii, 95.0, 91.05, 0.607; GCF_018342065.1, s__Citrobacter sp018342065, 95.0, 89.22, 0.45; GCF_004353845.1, s__Citrobacter arsenatis, 95.0, 91.45, 0.597; GCF_001037495.1, s__Citrobacter sp001037495, 95.0, 87.64, 0.381; GCF_945906775.1, s__Citrobacter sp945906775, 95.0, 87.72, 0.353; GCA_020099315.1, s__Citrobacter europaeus, 95.0, 91.79, 0.599; GCF_015672735.1, s__Citrobacter sp015672735, 95.0, 88.35, 0.418; GCF_005281345.1, s__Citrobacter sp005281345, 95.0, 88.97, 0.449; GCF_000759755.1, s__Citrobacter werkmanii, 95.0, 91.15, 0.592; GCF_000155975.1, s__Citrobacter portucalensis_A, 95.0, 94.62, 0.633
STP248.12601_R.bin.84	GCF_003697165.2	98.33	0.8776	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_005843885.1, s__Escherichia sp005843885, 95.0, 92.35, 0.744; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 92.45, 0.725; GCF_000759775.1, s__Escherichia albertii, 95.0, 89.89, 0.639; GCF_029876145.1, s__Escherichia ruysiae, 95.0, 92.0, 0.727; GCF_014836715.1, s__Escherichia whittamii, 95.0, 91.63, 0.74; GCF_002900365.1, s__Escherichia marmotae, 95.0, 90.79, 0.706; GCF_011881725.1, s__Escherichia coli_E, 95.0, 91.74, 0.744; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.04, 0.662; GCA_019415335.1, s__Citrobacter_A sp019415335, 95.0, 84.63, 0.274; GCF_000194175.1, s__Escherichia coli_F, 95.0, 95.46, 0.807; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 90.58, 0.521
STP248.12601_R.bin.89	GCF_019242955.1	96.93	0.9201999999999999	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Morganella;s__Morganella morganii_A	GCF_019243775.1, s__Morganella morganii, 95.0, 91.79, 0.818; GCA_015356505.1, s__Morganella morganii_E, 95.0, 91.83, 0.83; GCF_003996855.1, s__Morganella morganii_C, 95.0, 92.3, 0.778; GCF_000633515.1, s__Morganella morganii_B, 95.0, 91.72, 0.818; GCA_019402645.1, s__Morganella morganii_D, 95.0, 90.96, 0.743
STP294.12602_R.bin.10	GCF_022870765.1	98.66	0.8064	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D casseliflavus_A	GCF_018982785.1, s__Enterococcus_D innesii, 95.0, 94.06, 0.753; GCF_001544095.1, s__Enterococcus_D casseliflavus, 95.0, 93.44, 0.76
STP294.12602_R.bin.126	GCF_022870765.1	98.53	0.9028	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D casseliflavus_A	GCF_018982785.1, s__Enterococcus_D innesii, 95.0, 94.99, 0.832; GCF_001544095.1, s__Enterococcus_D casseliflavus, 95.0, 94.9, 0.791
STP294.12602_R.bin.42	GCF_002075345.1	96.98	0.7968999999999999	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii	GCF_002042885.1, s__Citrobacter portucalensis, 95.0, 90.78, 0.821; GCF_003818115.1, s__Citrobacter youngae, 95.0, 88.51, 0.777; GCF_011064845.1, s__Citrobacter freundii, 95.0, 90.6, 0.819; GCF_024023655.1, s__Citrobacter meridianamericanus, 95.0, 90.6, 0.757; GCF_008373795.1, s__Citrobacter pasteurii, 95.0, 88.48, 0.766; GCF_004684345.1, s__Citrobacter tructae, 95.0, 94.91, 0.851; GCF_030332225.1, s__Citrobacter sp030332225, 95.0, 86.92, 0.753; GCF_004353845.1, s__Citrobacter arsenatis, 95.0, 91.11, 0.778; GCF_001037495.1, s__Citrobacter sp001037495, 95.0, 86.14, 0.717; GCF_945906775.1, s__Citrobacter sp945906775, 95.0, 86.18, 0.685; GCF_000155975.1, s__Citrobacter portucalensis_A, 95.0, 89.59, 0.745; GCF_005281345.1, s__Citrobacter sp005281345, 95.0, 87.07, 0.7; GCF_029717145.1, s__Citrobacter gillenii, 95.0, 87.96, 0.785; GCA_020099315.1, s__Citrobacter europaeus, 95.0, 91.61, 0.784; GCF_018342065.1, s__Citrobacter sp018342065, 95.0, 90.53, 0.802; GCF_015672735.1, s__Citrobacter sp015672735, 95.0, 88.24, 0.778; GCF_000759755.1, s__Citrobacter werkmanii, 95.0, 89.48, 0.804
STP294.12602_R.bin.81	GCF_010974825.1	97.52	0.9303	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas rivipollensis	GCF_001643305.1, s__Aeromonas salmonicida, 95.0, 89.17, 0.404; GCF_000820005.1, s__Aeromonas piscicola, 95.26, 89.97, 0.483; GCF_000820185.1, s__Aeromonas tecta, 95.0, 89.78, 0.509; GCF_900637545.1, s__Aeromonas encheleia, 95.0, 90.51, 0.608; GCF_000820165.1, s__Aeromonas taiwanensis, 95.0, 90.27, 0.593; GCF_000014805.1, s__Aeromonas hydrophila, 95.0, 89.5, 0.499; GCF_000819785.1, s__Aeromonas caviae, 95.0, 90.27, 0.582; GCF_000819745.1, s__Aeromonas bestiarum, 95.0, 89.72, 0.512; GCF_000819845.1, s__Aeromonas enteropelogenes, 95.0, 88.76, 0.354; GCF_000820045.1, s__Aeromonas rivuli, 95.0, 88.75, 0.296; GCF_000820025.1, s__Aeromonas popoffii, 95.0, 89.29, 0.396; GCF_002812985.1, s__Aeromonas lusitana, 95.0, 89.48, 0.533; GCF_000820305.1, s__Aeromonas dhakensis, 95.0, 89.91, 0.486; GCF_000820085.1, s__Aeromonas sanarellii, 95.0, 90.82, 0.637; GCF_000819985.1, s__Aeromonas media, 95.0, 93.94, 0.789; GCF_000764655.1, s__Aeromonas aquatica, 95.0, 90.46, 0.587; GCF_000819765.1, s__Aeromonas bivalvium, 95.0, 89.73, 0.4; GCF_023093515.1, s__Aeromonas sp023093515, 95.0, 95.11, 0.87; GCF_000819865.1, s__Aeromonas eucrenophila, 95.0, 89.96, 0.563
STP51B.12603_R.bin.125	GCF_002075345.1	98.67	0.8523999999999999	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii	GCF_003818115.1, s__Citrobacter youngae, 95.0, 91.49, 0.791; GCF_011064845.1, s__Citrobacter freundii, 95.0, 92.73, 0.804; GCF_000155975.1, s__Citrobacter portucalensis_A, 95.0, 91.3, 0.763; GCF_005281345.1, s__Citrobacter sp005281345, 95.0, 90.05, 0.775; GCF_024023655.1, s__Citrobacter meridianamericanus, 95.0, 91.98, 0.811; GCF_008373795.1, s__Citrobacter pasteurii, 95.0, 91.44, 0.786; GCF_004353845.1, s__Citrobacter arsenatis, 95.0, 93.23, 0.816; GCF_002042885.1, s__Citrobacter portucalensis, 95.0, 92.47, 0.812; GCA_020099315.1, s__Citrobacter europaeus, 95.0, 93.39, 0.707; GCF_000759755.1, s__Citrobacter werkmanii, 95.0, 91.32, 0.778
STP51B.12603_R.bin.126	GCF_002075345.1	98.56	0.9134	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii	GCF_024023655.1, s__Citrobacter meridianamericanus, 95.0, 91.56, 0.787; GCF_000155975.1, s__Citrobacter portucalensis_A, 95.0, 90.51, 0.752; GCF_000759755.1, s__Citrobacter werkmanii, 95.0, 90.34, 0.767; GCF_011064845.1, s__Citrobacter freundii, 95.0, 91.65, 0.799; GCA_020099315.1, s__Citrobacter europaeus, 95.0, 93.04, 0.835; GCF_004353845.1, s__Citrobacter arsenatis, 95.0, 92.75, 0.82; GCF_002042885.1, s__Citrobacter portucalensis, 95.0, 91.7, 0.777
STP51B.12603_R.bin.142	GCF_002075345.1	98.6	0.9211	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii	GCF_000155975.1, s__Citrobacter portucalensis_A, 95.0, 90.96, 0.758; GCF_000759755.1, s__Citrobacter werkmanii, 95.0, 90.98, 0.803; GCF_005281345.1, s__Citrobacter sp005281345, 95.0, 89.62, 0.698; GCF_002042885.1, s__Citrobacter portucalensis, 95.0, 92.04, 0.8; GCA_020099315.1, s__Citrobacter europaeus, 95.0, 93.39, 0.868; GCF_003818115.1, s__Citrobacter youngae, 95.0, 90.36, 0.753; GCF_008373795.1, s__Citrobacter pasteurii, 95.0, 90.4, 0.713; GCF_011064845.1, s__Citrobacter freundii, 95.0, 92.07, 0.828; GCF_004353845.1, s__Citrobacter arsenatis, 95.0, 93.14, 0.857; GCF_024023655.1, s__Citrobacter meridianamericanus, 95.0, 91.8, 0.797
STP51B.12603_R.bin.152	GCF_001655005.1	95.31	0.8454999999999999	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Hafnia;s__Hafnia paralvei	GCF_001586165.1, s__Hafnia protea, 95.0, 83.98, 0.379; GCF_000735375.1, s__Hafnia alvei, 95.0, 84.18, 0.363
STP572.12604_R.bin.13	GCF_023093515.1	97.62	0.8889	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas sp023093515	GCF_000819985.1, s__Aeromonas media, 95.0, 95.2, 0.794; GCF_010974825.1, s__Aeromonas rivipollensis, 95.0, 95.11, 0.793
STP572.12604_R.bin.45	GCF_002075345.1	99.15	0.9218999999999999	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii	GCF_030332225.1, s__Citrobacter sp030332225, 95.0, 88.93, 0.618; GCA_020099315.1, s__Citrobacter europaeus, 95.0, 93.39, 0.772; GCF_029717145.1, s__Citrobacter gillenii, 95.0, 88.06, 0.578; GCF_002918555.1, s__Citrobacter_C amalonaticus_A, 95.0, 85.91, 0.361; GCF_001037495.1, s__Citrobacter sp001037495, 95.0, 88.05, 0.581; GCF_003818115.1, s__Citrobacter youngae, 95.0, 90.48, 0.689; GCF_018342065.1, s__Citrobacter sp018342065, 95.0, 89.14, 0.649; GCF_002042885.1, s__Citrobacter portucalensis, 95.0, 92.47, 0.785; GCF_004353845.1, s__Citrobacter arsenatis, 95.0, 93.03, 0.817; GCF_000759755.1, s__Citrobacter werkmanii, 95.0, 91.24, 0.753; GCF_005281345.1, s__Citrobacter sp005281345, 95.0, 89.58, 0.643; GCF_015672735.1, s__Citrobacter sp015672735, 95.0, 88.22, 0.588; GCF_011064845.1, s__Citrobacter freundii, 95.0, 92.43, 0.798; GCF_004684345.1, s__Citrobacter tructae, 95.0, 88.71, 0.638; GCF_024023655.1, s__Citrobacter meridianamericanus, 95.0, 92.24, 0.777; GCF_008373795.1, s__Citrobacter pasteurii, 95.0, 90.32, 0.669; GCF_000155975.1, s__Citrobacter portucalensis_A, 95.0, 91.19, 0.74; GCF_945906775.1, s__Citrobacter sp945906775, 95.0, 88.11, 0.591
STP572.12604_R.bin.61	GCF_016406305.1	97.42	0.9318000000000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella putrefaciens_C	GCF_000217915.1, s__Shewanella sp000217915, 95.0, 91.13, 0.664; GCF_024197625.1, s__Shewanella sp024197625, 95.0, 95.0, 0.833; GCF_002783505.1, s__Shewanella sp002783505, 95.0, 91.79, 0.716
STP672.12605_R.bin.17	GCF_000271405.2	95.42	0.8364	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae	
STP672.12605_R.bin.34	GCF_024459955.1	98.11	0.8338	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Hominibacterium;s__Hominibacterium odorimutans_A	
STP672.12605_R.bin.39	GCF_004216775.1	96.32	0.7789	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Cuneatibacter;s__Cuneatibacter caecimuris	
STP672.12605_R.bin.94	GCF_002441855.2	98.18	0.8548	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium maltosivorans	GCF_900142645.1, s__Eubacterium callanderi, 95.0, 90.11, 0.661; GCA_959020865.1, s__Eubacterium limosum_B, 95.0, 89.85, 0.565; GCF_000807675.2, s__Eubacterium limosum, 95.0, 90.04, 0.657; GCF_015547515.1, s__Eubacterium sp015547515, 95.0, 88.12, 0.548
UHM102.10840_R.bin.10	GCF_000368145.1	96.96	0.8543999999999999	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter guillouiae	
UHM102.10840_R.bin.11	GCF_001654865.1	98.09	0.7254999999999999	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Buttiauxella;s__Buttiauxella noackiae	GCF_902500225.1, s__Buttiauxella massiliensis, 95.0, 90.82, 0.566; GCF_001654835.1, s__Buttiauxella gaviniae, 95.0, 90.93, 0.562
UHM102.10840_R.bin.14	GCA_900455085.1	98.41	0.7101000000000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia rettgeri	GCF_002843235.3, s__Providencia huaxiensis, 95.0, 91.52, 0.525; GCF_023205015.1, s__Providencia rettgeri_E, 95.0, 91.05, 0.475; GCF_013255915.1, s__Providencia rettgeri_D, 95.0, 92.28, 0.575
UHM102.10840_R.bin.16	GCF_000737715.1	95.24	0.5118	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium sp000737715	GCF_900128945.1, s__Chryseobacterium sp900128945, 95.0, 94.85, 0.53; GCF_900115055.1, s__Chryseobacterium oleae, 95.0, 94.55, 0.497
